"week" "date" "X0" "X28542" "X65473" "X29207" "X76544" "X31905" "X42223" "X60088" "X28310" "X32544" "X79920" "X9054" "X40121" "X13602" "X80913" "X9096" "X98433" "X31314" "X66442" "X30905" "X22134" "X96205" "X98315" "X92055" "X78230" "X77553" "X45433" "X73503" "X9622" "X9131" "X96819" "X96258" "X9139" "X9086" "X96257" "X9114" "X39534" "X80011" "X80918" "X9177" "X96224" "X95521" "X96271" "X33139" "X9033" "X98431" "X9034" "X99703" "X22031" "X9112" "X20307" "X9173" "X79918" "X98207" "X9136" "X96861" "X9074" "X99802" "X901" "X22191" "X66027" "X96595" "X23513" "X96218" "X96260" "X94535" "X10305" "X10996" "X9140" "X92134" "X33172" "X46124" "X99835" "X9613" "X604" "X64147" "X934" "X97459" "X54656" "X89191" "X9589" "X32542" "X9724" "X90731" "X9468" "X48045" "X23320" "X98438" "X8640" "X28308" "X96859" "X98760" "X96350" "X9340" "X23456" "X80907" "X92123" "X8405" "X99506" "X6320" "X9089"
"33" 33 "8/14/00" 80 32 18 0 0 1 0 10 1 11 3 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" 34 "8/21/00" 126 40 30 0 0 0 0 38 0 13 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 35 "8/28/00" 65 11 21 1 2 1 0 20 1 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" 36 "9/4/00" 58 16 13 1 2 0 1 4 2 14 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" 37 "9/11/00" 59 18 10 0 0 0 0 9 3 14 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"38" 38 "9/18/00" 59 19 10 1 3 1 0 16 2 3 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" 39 "9/25/00" 84 7 9 0 0 1 1 45 4 4 0 1 0 0 0 1 0 0 0 0 0 0 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" 40 "10/2/00" 51 20 3 0 0 0 0 22 0 0 0 0 0 0 0 4 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"41" 41 "10/9/00" 60 23 5 1 5 1 1 6 1 6 0 0 0 0 0 6 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" 42 "10/16/00" 61 22 10 1 1 2 0 7 0 6 0 2 0 0 0 0 0 0 0 0 0 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
